ID,名前,肩書き,シリーズ番号,シリーズ,手持ち1,手持ち2,手持ち3,手持ち4,手持ち5,手持ち6,画像ファイル,くれるもの,地方,会える場所,表示順,タイプ,アニメ登場回
911,ウシオ,えんじ,5,ブラック・ホワイト,ヒヤップ,,,,,,05_enji_m.PNG,40円,イッシュ地方,3ばんどうろ,12,,
912,マツリ,えんじ,5,ブラック・ホワイト,バオップ,,,,,,05_enji_f.PNG,40円,イッシュ地方,3ばんどうろ,12,,
913,ミノル,えんじ,5,ブラック・ホワイト,ヤナップ,,,,,,05_enji_m.PNG,40円,イッシュ地方,3ばんどうろ,12,,
914,コトノ,えんじ,5,ブラック・ホワイト,モンメン,チュリネ,,,,,05_enji_f.PNG,52円,イッシュ地方,ヤグルマのもり,12,,
915,オウチ,えんじ,5,ブラック・ホワイト,ダンゴロ,,,,,,05_enji_m.PNG,56円,イッシュ地方,ヤグルマのもり,12,,
916,フユカ,えんじ,5,ブラック・ホワイト,ユニラン,,,,,,05_enji_f.PNG,96円,イッシュ地方,ライモンシティ,12,,
917,ユウミ,えんじ,5,ブラック・ホワイト,ハーデリア,,,,,,05_enji_f.PNG,104円,イッシュ地方,5ばんどうろ,12,,
918,トモヤ,えんじ,5,ブラック・ホワイト,ハーデリア,,,,,,05_enji_m.PNG,104円,イッシュ地方,5ばんどうろ,12,,
919,モトヤス,えんじ,5,ブラック・ホワイト,マネネ,,,,,,05_enji_m.PNG,256円,イッシュ地方,ビッグスタジアム、リトルコート,12,,
920,マユコ,えんじ,5,ブラック・ホワイト,ムチュール,,,,,,05_enji_f.PNG,256円,イッシュ地方,ビッグスタジアム、リトルコート,12,,
921,リン,えんじ,5b,ブラック2・ホワイト2,ヨーテリー,,,,,,05_enji_f.PNG,40円,イッシュ地方,20ばんどうろ,13,,
922,シンゴ,えんじ,5b,ブラック2・ホワイト2,コダック,,,,,,05_enji_m.PNG,40円,イッシュ地方,20ばんどうろ,13,,
923,ゴンタ,えんじ,5b,ブラック2・ホワイト2,キマワリ,,,,,,05_enji_m.PNG,136円,イッシュ地方,7ばんどうろ,13,,
924,チコ,えんじ,5b,ブラック2・ホワイト2,ダルマッカ,,,,,,05_enji_f.PNG,136円,イッシュ地方,7ばんどうろ,13,,
925,ジョウ,えんじ,5b,ブラック2・ホワイト2,ウパー,オタマロ,,,,,05_enji_m.PNG,240円,イッシュ地方,ヤグルマのもり,13,,
926,アカリ,えんじ,5b,ブラック2・ホワイト2,ミニリュウ,フカマル,タツベイ,,,,05_enji_f.PNG,236円,イッシュ地方,ヤグルマのもり,13,,
927,エイジ,えんじ,5b,ブラック2・ホワイト2,ミノムッチ,ストライク,パラス,,,,05_enji_m.PNG,236円,イッシュ地方,ヤグルマのもり,13,,
928,カイト,えんじ,5b,ブラック2・ホワイト2,クヌギダマ,ナットレイ,,,,,05_enji_m.PNG,240円,イッシュ地方,ヤグルマのもり,13,,
929,カナ,えんじ,5b,ブラック2・ホワイト2,キルリア,ピカチュウ,,,,,05_enji_f.PNG,244円,イッシュ地方,3ばんどうろ,13,,
930,マサヨシ,えんじ,5b,ブラック2・ホワイト2,リオル,レディアン,,,,,05_enji_m.PNG,244円,イッシュ地方,3ばんどうろ,13,,
931,リキヤ,えんじ,5b,ブラック2・ホワイト2,ダンバル,モノズ,,,,,05_enji_m.PNG,244円,イッシュ地方,3ばんどうろ,13,,
932,モトヤス,えんじ,5b,ブラック2・ホワイト2,マネネ,,,,,,05_enji_m.PNG,244円,イッシュ地方,ビッグスタジアム、リトルコート,13,,
933,マユコ,えんじ,5b,ブラック2・ホワイト2,ムチュール,,,,,,05_enji_f.PNG,244円,イッシュ地方,ビッグスタジアム、リトルコート,13,,
934,ミノル,えんじ,6,X・Y,キャタピー,ルリリ,,,,,06_enji_m.PNG,64円,カロス地方,3ばんどうろ,14,,
935,ユウコ,えんじ,6,X・Y,ピチュー,,,,,,06_enji_f.PNG,80円,カロス地方,3ばんどうろ,14,,
936,ハナ,えんじ,6,X・Y,スボミー,,,,,,06_enji_f.PNG,144円,カロス地方,4ばんどうろ,14,,
937,ユウイチロウ,えんじ,6,X・Y,コイキング,,,,,,06_enji_m.PNG,144円,カロス地方,4ばんどうろ,14,,
938,スタン,えんじ,6,X・Y,ウリムー,ウソハチ,,,,,06_enji_f.PNG,848円,カロス地方,ミアレシティ,14,,
939,オヨナ,えんじ,6,X・Y,ププリン,,,,,,06_enji_f.PNG,880円,カロス地方,ミアレシティ,14,,
940,ミノル,えんじ,7,サン・ムーン,ヤングース,,,,,,07_enji_m.PNG,48円,アローラ地方,1ばんどうろ,16,,
941,ユウコ,えんじ,7,サン・ムーン,ウソハチ,,,,,,07_enji_f.PNG,84円,アローラ地方,1ばんどうろ,16,,
942,キミオ,えんじ,7,サン・ムーン,オニスズメ,,,,,,07_enji_m.PNG,96円,アローラ地方,2ばんどうろ,16,,
943,マツリ,えんじ,7,サン・ムーン,アブリー,,,,,,07_enji_f.PNG,108円,アローラ地方,2ばんどうろ,16,,
944,ハナナ,えんじ,7,サン・ムーン,フワンテ（フワライド）,,,,,,07_enji_f.PNG,156円、660円,アローラ地方,バトルバイキング,16,,
945,フミオ,えんじ,7,サン・ムーン,プリン,レディアン,,,,,07_enji_m.PNG,264円,アローラ地方,メモリアルヒル,16,,
946,ヒロム,えんじ,7,サン・ムーン,ヌイコグマ,,,,,,07_enji_m.PNG,312円,アローラ地方,11ばんどうろ,16,,
947,ホノカ,えんじ,7,サン・ムーン,ピィ,,,,,,07_enji_f.PNG,312円,アローラ地方,マリエていえん,16,,
948,ハジメ,えんじ,7,サン・ムーン,エレキッド,,,,,,07_enji_m.PNG,360円,アローラ地方,エーテルハウス,16,,
949,ミノル,えんじ,7b,ウルトラサン・ウルトラムーン,コラッタ アローラのすがた,,,,,,07_enji_m.PNG,36円,アローラ地方,1ばんどうろ,17,,
950,ユウコ,えんじ,7b,ウルトラサン・ウルトラムーン,トランセル,,,,,,07_enji_f.PNG,84円,アローラ地方,1ばんどうろ,17,,
951,ソウタ,えんじ,7b,ウルトラサン・ウルトラムーン,フワンテ,,,,,,07_enji_m.PNG,96円,アローラ地方,2ばんどうろ,17,,
952,マツリ,えんじ,7b,ウルトラサン・ウルトラムーン,ピンプク,,,,,,07_enji_f.PNG,96円,アローラ地方,ハウオリれいえん,17,,
953,ハナナ,えんじ,7b,ウルトラサン・ウルトラムーン,フワンテ（フワライド）,,,,,,07_enji_f.PNG,156円、660円,アローラ地方,バトルバイキング,17,,
954,キミオ,えんじ,7b,ウルトラサン・ウルトラムーン,ガルーラ,,,,,,07_enji_m.PNG,228円,アローラ地方,8ばんどうろ,17,,
955,フミオ,えんじ,7b,ウルトラサン・ウルトラムーン,ブビィ,レディアン,,,,,07_enji_m.PNG,276円,アローラ地方,メモリアルヒル,17,,
956,ホノカ,えんじ,7b,ウルトラサン・ウルトラムーン,ピィ,,,,,,07_enji_f.PNG,324円,アローラ地方,マリエていえん,17,,
957,ヒロム,えんじ,7b,ウルトラサン・ウルトラムーン,デデンネ,,,,,,07_enji_m.PNG,336円,アローラ地方,11ばんどうろ,17,,
958,ハジメ,えんじ,7b,ウルトラサン・ウルトラムーン,エレキッド,,,,,,07_enji_m.PNG,384円,アローラ地方,エーテルハウス,17,,
959,ハルナ,えんじ,7b,ウルトラサン・ウルトラムーン,ミミッキュ,,,,,,07_enji_f.PNG,408円,アローラ地方,16ばんどうろ,17,,
960,サチコ,スキーヤー,2,金・銀,ルージュラ,,,,,,02_skier.PNG,2016円,ジョウト地方,チョウジジム,4,,
961,アユミ,スキーヤー,2,金・銀,ジュゴン,,,,,,02_skier.PNG,2016円,ジョウト地方,チョウジジム,4,,
962,サチコ,スキーヤー,2c,ハートゴールド・ソウルシルバー,ルージュラ,,,,,,02_skier.PNG,928円,ジョウト地方,チョウジジム,11,,
963,アユミ,スキーヤー,2c,ハートゴールド・ソウルシルバー,ジュゴン,,,,,,02_skier.PNG,928円,ジョウト地方,チョウジジム,11,,
964,ホズミ,スキーヤー,2c,ハートゴールド・ソウルシルバー,デリバード,,,,,,02_skier.PNG,1696円,ジョウト地方,ふたごじま,11,,
965,タカヒコ,スキーヤー,4,ダイヤモンド・パール,ニューラ,,,,,,02_skier.PNG,1120円、1280円、1760円,シンオウ地方,216ばんどうろ,9,,
966,ナツキ,スキーヤー,4,ダイヤモンド・パール,ロゼリア,ユキカブリ,,,,,02_skier.PNG,1152円,シンオウ地方,216ばんどうろ,9,,
967,フジヤ,スキーヤー,4,ダイヤモンド・パール,イシツブテ,ゴローン,ユキカブリ,,,,02_skier.PNG,1120円,シンオウ地方,216ばんどうろ,9,,
968,アイミ,スキーヤー,4,ダイヤモンド・パール,ムクバード（ムクホーク）,,,,,,02_skier.PNG,1216円、1280円、1760円,シンオウ地方,216ばんどうろ,9,,
969,センタロウ,スキーヤー,4,ダイヤモンド・パール,ユキカブリ,ユキカブリ,ゴルダック,ユキカブリ,,,02_skier.PNG,1120円,シンオウ地方,217ばんどうろ,9,,
970,ヒヅキ,スキーヤー,4,ダイヤモンド・パール,ユキカブリ,,,,,,02_skier.PNG,1184円、1280円、1760円,シンオウ地方,217ばんどうろ,9,,
971,ノブオ,スキーヤー,4,ダイヤモンド・パール,タマンタ（マンタイン）,ニューラ,,,,,02_skier.PNG,1216円、1248円、1856円,シンオウ地方,217ばんどうろ,9,,
972,ユウコ,スキーヤー,4,ダイヤモンド・パール,マリル,ピッピ,,,,,02_skier.PNG,1120円,シンオウ地方,217ばんどうろ,9,,
973,ナツキ,スキーヤー,4b,プラチナ,ウリムー,ユキカブリ,,,,,02_skier.PNG,1216円,シンオウ地方,216ばんどうろ,10,,
974,フジヤ,スキーヤー,4b,プラチナ,ユキワラシ,ウリムー,ユキカブリ,,,,02_skier.PNG,1152円,シンオウ地方,216ばんどうろ,10,,
975,アイミ,スキーヤー,4b,プラチナ,ユキカブリ（ユキノオー）,,,,,,02_skier.PNG,1248円、1450円、2032円,シンオウ地方,216ばんどうろ,10,,
976,センタロウ,スキーヤー,4b,プラチナ,ユキカブリ,ユキカブリ,ユキカブリ,,,,02_skier.PNG,1184円,シンオウ地方,217ばんどうろ,10,,
977,ヒヅキ,スキーヤー,4b,プラチナ,ユキワラシ（ユキメノコ）,,,,,,02_skier.PNG,1248円、1440円、1728円,シンオウ地方,217ばんどうろ,10,,
978,ノブオ,スキーヤー,4b,プラチナ,ウリムー（イノムー、マンムー）,ニューラ（マニューラ）,デリバード,,,,02_skier.PNG,1216円、1376円、1920円,シンオウ地方,217ばんどうろ,10,,
979,ユウコ,スキーヤー,4b,プラチナ,イノムー,グレイシア,,,,,02_skier.PNG,1184円,シンオウ地方,217ばんどうろ,10,,
980,リカ,やまガール,9,スカーレット・バイオレット,ナマケロ,,,,,,,420円,パルデア地方,南1番エリア,22,,
981,トモミ,やまガール,9,スカーレット・バイオレット,タンドン,,,,,,,420円,パルデア地方,南1番エリア,22,,
982,ユカ,やまガール,9,スカーレット・バイオレット,ドンメル,,,,,,,1200円,パルデア地方,南4番エリア,22,,
983,リナ,やまガール,9,スカーレット・バイオレット,ノノクラゲ,,,,,,,1020円,パルデア地方,南5番エリア,22,,
984,ハルナ,やまガール,9,スカーレット・バイオレット,ウソッキー,ニューラ,ルガルガン（たそがれのすがた）,,,,,4000円,パルデア地方,南5番エリア,22,,
985,ユウコ,やまガール,9,スカーレット・バイオレット,キリンリキ,,,,,,,1440円,パルデア地方,西2番エリア,22,,
986,マイカ,やまガール,9,スカーレット・バイオレット,ウパー（パルデアのすがた）,,,,,,,1440円,パルデア地方,東3番エリア,22,,
987,アキコ,やまガール,9,スカーレット・バイオレット,ジオヅム,ハリテヤマ,ブースター,,,,,4640円,パルデア地方,東3番エリア,22,,
988,サツキ,やまガール,9,スカーレット・バイオレット,ナマズン,,,,,,,1860円,パルデア地方,西3番エリア,22,,
989,ハルカ,やまガール,9,スカーレット・バイオレット,バンバドロ,,,,,,,1920円,パルデア地方,プルピケ山道,22,,
990,ジュリ,やまガール,9,スカーレット・バイオレット,ケケンカニ,,,,,,,2340円,パルデア地方,プルピケ山道,22,,
991,ユイカ,やまガール,9,スカーレット・バイオレット,トリトドン（ひがしのうみ）,トリトドン（にしのうみ）,,,,,,2340円,パルデア地方,プルピケ山道,22,,
992,アサヒ,やまガール,9,スカーレット・バイオレット,サダイジャ,,,,,,,2220円,パルデア地方,ナッペ山,22,,
993,ミハル,やまガール,9,スカーレット・バイオレット,バクーダ,デデンネ,ミガルーサ,,,,,6720円,パルデア地方,ナッペ山,22,,
994,ミユキ,やまガール,9,スカーレット・バイオレット,アノホラグサ,,,,,,,2460円,パルデア地方,南6番エリア,22,,
995,シュウコ,やまガール,9,スカーレット・バイオレット,カバルドン,ルガルガン（まひるのすがた）,,,,,,7040円,パルデア地方,ベイク空洞,22,,
996,マオ,やまガール,9,スカーレット・バイオレット,ワルビアル,,,,,,,2820円,パルデア地方,北1番エリア,22,,
997,マユ,やまガール,9,スカーレット・バイオレット,キョジオーン,,,,,,,3180円,パルデア地方,オージャの湖,22,,
998,ミユ,やまガール,9,スカーレット・バイオレット,サンド（アローラのすがた）,ロコン（アローラのすがた）,,,,,,1020円、3660円,パルデア地方,鬼が山,22,,
999,キヨマサ,からておう,2,金・銀,サワムラー,,,,,,02_karateou.PNG,648円,ジョウト地方,タンバジム,4,,
1000,フミヒト,からておう,2,金・銀,エビワラー,,,,,,02_karateou.PNG,648円,ジョウト地方,タンバジム,4,,
1001,テッカン,からておう,2,金・銀,ワンリキー,ゴーリキー,,,,,02_karateou.PNG,600円,ジョウト地方,タンバジム,4,,
1002,モリカズ,からておう,2,金・銀,マンキー,マンキー,オコリザル,,,,02_karateou.PNG,600円,ジョウト地方,タンバジム,4,,
1003,タケノリ,からておう,2,金・銀,ゴーリキー（カイリキー）,イワーク,サワムラー,イワーク,,,02_karateou.PNG,672円、768円、840円,ジョウト地方,45ばんどうろ,4,,
1004,ノブヒコ,からておう,2,金・銀,サワムラー,エビワラー,,,,,02_karateou.PNG,816円,ジョウト地方,スリバチやま,4,,
1005,ユウダイ,からておう,2,金・銀,ゴーリキー,ゴーリキー,ゴーリキー,,,,02_karateou.PNG,816円,ジョウト地方,アクアごう,4,,
1006,マンゾウ,からておう,2c,ハートゴールド・ソウルシルバー,ニョロボン,,,,,,02_karateou.PNG,1128円,ジョウト地方,3ばんどうろ,11,,
1007,フトシ,からておう,2c,ハートゴールド・ソウルシルバー,オコリザル,ゴローン,ゴーリキー,,,,02_karateou.PNG,1056円,ジョウト地方,3ばんどうろ,11,,
1008,イワオ,カラテおう,1c,ファイアレッド・リーフグリーン,ワンリキー,マンキー,オコリザル,,,,02_karateou.PNG,744円,カントー地方,かくとうどうじょう,7,,
1009,タイキ,カラテおう,1c,ファイアレッド・リーフグリーン,ワンリキー,ゴーリキー,,,,,02_karateou.PNG,768円,カントー地方,かくとうどうじょう,7,,
1010,タツマ,カラテおう,1c,ファイアレッド・リーフグリーン,オコリザル,,,,,,02_karateou.PNG,768円,カントー地方,かくとうどうじょう,7,,
1011,ノボル,カラテおう,1c,ファイアレッド・リーフグリーン,マンキー,マンキー,オコリザル,,,,02_karateou.PNG,744円,カントー地方,かくとうどうじょう,7,,
1012,タケノリ,カラテおう,1c,ファイアレッド・リーフグリーン,サワムラー,エビワラー,,,,,02_karateou.PNG,888円,カントー地方,かくとうどうじょう,7,,
1013,タクミ,カラテおう,1c,ファイアレッド・リーフグリーン,ワンリキー（ゴーリキー）,ゴーリキー（カイリキー）,,,,,02_karateou.PNG,888円、1200円、1320円,カントー地方,ほてりのみち,7,,
1014,カツミ,カラテおう,1c,ファイアレッド・リーフグリーン,ワンリキー（ゴーリキー）,ゴーリキー（カイリキー）,,,,,02_karateou.PNG,912円、1200円、1320円,カントー地方,ほてりのみち,7,,
1015,テツヒサ,カラテおう,1c,ファイアレッド・リーフグリーン,ワンリキー,ゴーリキー,,,,,02_karateou.PNG,960円,カントー地方,トキワジム,7,,
1016,シロウ,カラテおう,1c,ファイアレッド・リーフグリーン,ゴーリキー,ワンリキー,ゴーリキー,,,,02_karateou.PNG,912円,カントー地方,トキワジム,7,,
1017,タクマ,カラテおう,1c,ファイアレッド・リーフグリーン,ゴーリキー,,,,,,02_karateou.PNG,1032円,カントー地方,トキワジム,7,,
1018,タダシ,カラテおう,1c,ファイアレッド・リーフグリーン,ゴーリキー,ワンリキー,ゴーリキー,,,,02_karateou.PNG,1032円,カントー地方,チャンピオンロード,7,,
1019,タケル,カラテおう,1c,ファイアレッド・リーフグリーン,サワムラー,ストライク,ブーバー,カイリキー,オコリザル,ニョロボン,02_karateou.PNG,,カントー地方,トレーナータワー,7,,
1020,タイキ,カラテおう,3,ルビー・サファイア,ワンリキー,,,,,,02_karateou.PNG,448円,ホウエン地方,ムロジム,6,,
1021,タダシ,カラテおう,3,ルビー・サファイア,ワンリキー,,,,,,02_karateou.PNG,608円,ホウエン地方,111ばんどうろ,6,,
1022,ゴロウ,カラテおう,3,ルビー・サファイア,ワンリキー（ゴーリキー）,ゴーリキー（カイリキー）,ワンリキー,ゴーリキー,,,02_karateou.PNG,640円、864円、928円、992円、1056円,ホウエン地方,115ばんどうろ,6,,
1023,タケノリ,カラテおう,3,ルビー・サファイア,ワンリキー,ゴーリキー,,,,,02_karateou.PNG,832円,ホウエン地方,115ばんどうろ,6,,
1024,カズシ,カラテおう,3,ルビー・サファイア,マクンオシタ,ゴーリキー,,,,,02_karateou.PNG,832円,ホウエン地方,カラクリやしき,6,,
1025,テツヒサ,カラテおう,3,ルビー・サファイア,マクノシタ,ゴーリキー,ハリテヤマ,,,,02_karateou.PNG,960円,ホウエン地方,おくりびやま4階,6,,
1026,テツロウ,カラテおう,3,ルビー・サファイア,ゴーリキー,ゴーリキー,,,,,02_karateou.PNG,1088円,ホウエン地方,127ばんすいどう,6,,
1027,タクマ,カラテおう,3,ルビー・サファイア,マクノシタ,マクノシタ,ゴーリキー,,,,02_karateou.PNG,1056円,ホウエン地方,132ばんすいどう,6,,
1028,イワオ,カラテおう,3,ルビー・サファイア,ゴーリキー,ゴーリキー,,,,,02_karateou.PNG,1088円,ホウエン地方,134ばんすいどう,6,,
1029,トシユキ,カラテおう,3,ルビー・サファイア,ザングース,ハブネーク,カイリキー,,,,02_karateou.PNG,,ホウエン地方,トクサネシティ,6,,
1030,マサル,カラテおう,3,ルビー・サファイア,チャーレム,カイリキー,ヘラクロス,,,,02_karateou.PNG,,ホウエン地方,トクサネシティ,6,,
1031,ダンペイ,カラテおう,3,ルビー・サファイア,コドラ,ゴローン,コモルー,,,,02_karateou.PNG,,ホウエン地方,トクサネシティ,6,,
1032,タイケイ,カラテおう,3b,エメラルド,ワンリキー,,,,,,02_karateou.PNG,416円,ホウエン地方,ムロジム,8,,
1033,トシヒデ,カラテおう,3b,エメラルド,マクノシタ,,,,,,02_karateou.PNG,416円,ホウエン地方,ムロジム,8,,
1034,シゲモリ,カラテおう,3b,エメラルド,マクノンシタ,,,,,,02_karateou.PNG,480円,ホウエン地方,103ばんどうろ,8,,
1035,タダシ,カラテおう,3b,エメラルド,ワンリキー,,,,,,02_karateou.PNG,608円,ホウエン地方,111ばんどうろ,8,,
1036,ゴロウ,カラテおう,3b,エメラルド,ワンリキー（ゴーリキー、カイリキー）,ワンリキー（ゴーリキー）,ワンリキー（ゴーリキー）,ワンリキー,,,02_karateou.PNG,608円、864円、928円、992円、1056円,ホウエン地方,115ばんどうろ,8,,
1037,カズシ,カラテおう,3b,エメラルド,マクノシタ,ゴーリキー,,,,,02_karateou.PNG,832円,ホウエン地方,カラクリやしき,8,,
1038,タケノリ,カラテおう,3b,エメラルド,ワンリキー,ゴーリキー,,,,,02_karateou.PNG,896円,ホウエン地方,115ばんどうろ,8,,
1039,リョウジ,カラテおう,3b,エメラルド,ハリテヤマ,,,,,,02_karateou.PNG,992円,ホウエン地方,おくりびやま2階,8,,
1040,テツヒサ,カラテおう,3b,エメラルド,ハイテヤマ,,,,,,02_karateou.PNG,1024円,ホウエン地方,おくりびやま5階,8,,
1041,テツロウ,カラテおう,3b,エメラルド,ゴーリキー（カイリキー）,ゴーリキー（カイリキー）,マクノシタ（ハリテヤマ）,,,,02_karateou.PNG,1088円、1184円、1248円、1312円,ホウエン地方,127ばんすいどう,8,,
1042,タクマ,カラテおう,3b,エメラルド,ハリテヤマ,,,,,,02_karateou.PNG,1376円,ホウエン地方,132ばんすいどう,8,,
1043,イワオ,カラテおう,3b,エメラルド,ワンリキー,ゴーリキー,,,,,02_karateou.PNG,1088円,ホウエン地方,134ばんすいどう,8,,
1044,カツアキ,カラテおう,3b,エメラルド,カイリキー,ゴローニャ,サイドン,バシャーモ,ヤルキモノ,ケッキング他,02_karateou.PNG,1024円,ホウエン地方,バトルタワー,8,,
1045,コウセイ,カラテおう,3b,エメラルド,エビワラー,チャーレム,カイリキー,サワムラー,ニョロボン,バシャーモ,02_karateou.PNG,,ホウエン地方,トレーナーヒル,8,,
1046,ハルマサ,カラテおう,3b,エメラルド,ワンリキー,カイロス,エビワラー,アサナン,ヘラクロス,カポエラー,02_karateou.PNG,,ホウエン地方,トレーナーヒル,8,,
1047,ゴウタ,からておう,4,ダイヤモンド・パール,ワンリキー,,,,,,02_karateou.PNG,456円,シンオウ地方,208ばんどうろ,9,,
1048,ケンサク,からておう,4,ダイヤモンド・パール,グレッグル,,,,,,02_karateou.PNG,600円,シンオウ地方,215ばんどうろ,9,,
1049,ヨウスケ,からておう,4,ダイヤモンド・パール,アサナン,ワンリキー,アサナン,,,,02_karateou.PNG,504円,シンオウ地方,215ばんどうろ,9,,
1050,グンジ,からておう,4,ダイヤモンド・パール,グレッグル,ワンリキー,アサナン,,,,02_karateou.PNG,528円,シンオウ地方,215ばんどうろ,9,,
1051,シロウ,からておう,4,ダイヤモンド・パール,ゴーリキー,アサナン,,,,,02_karateou.PNG,624円,シンオウ地方,トバリジム,9,,
1052,サブロウ,からておう,4,ダイヤモンド・パール,アサナン,,,,,,02_karateou.PNG,672円,シンオウ地方,トバリジム,9,,
1053,ジロウ,からておう,4,ダイヤモンド・パール,ゴーリキー,ワンリキー,ゴーリキー,,,,02_karateou.PNG,600円,シンオウ地方,トバリジム,9,,
1054,イチロウ,からておう,4,ダイヤモンド・パール,ゴーリキー,ゴーリキー,ゴーリキー,,,,02_karateou.PNG,600円,シンオウ地方,トバリジム,9,,
1055,カツヤ,からておう,4,ダイヤモンド・パール,ゴーリキー,,,,,,02_karateou.PNG,696円,シンオウ地方,210ばんどうろ,9,,
1056,ユウサク,からておう,4,ダイヤモンド・パール,グレッグル,アサナン,ゴーリキー,,,,02_karateou.PNG,696円,シンオウ地方,211ばんどうろ,9,,
1057,タイト,からておう,4,ダイヤモンド・パール,ハガネール,,,,,,02_karateou.PNG,792円,シンオウ地方,ミオジム,9,,
1058,ケンスケ,からておう,4,ダイヤモンド・パール,イワーク,ハガネール,,,,,02_karateou.PNG,768円,シンオウ地方,ミオジム,9,,
1059,タケノリ,からておう,4,ダイヤモンド・パール,グレッグル,,,,,,02_karateou.PNG,840円,シンオウ地方,こうてつじま,9,,
1060,ダンジ,からておう,4,ダイヤモンド・パール,ゴーリキー（カイリキー）,,,,,,02_karateou.PNG,960円、1368円,シンオウ地方,216ばんどうろ,9,,
1061,トウシ,からておう,4,ダイヤモンド・パール,グレッグル,イワーク,ゴーリキー,,,,02_karateou.PNG,888円,シンオウ地方,217ばんどうろ,9,,
1062,ユウダイ,からておう,4,ダイヤモンド・パール,カイリキー,,,,,,02_karateou.PNG,1176円,シンオウ地方,チャンピオンロード,9,,
1063,テツ,からておう,4,ダイヤモンド・パール,ゴーリキー,カイリキー,,,,,02_karateou.PNG,1392円,シンオウ地方,チャンピオンロード,9,,
1064,タカ,からておう,4,ダイヤモンド・パール,イワーク,カイリキー,,,,,02_karateou.PNG,1344円,シンオウ地方,チャンピオンロード,9,,
1065,タダシ,からておう,4,ダイヤモンド・パール,グレッグル,カイリキー,,,,,02_karateou.PNG,1344円,シンオウ地方,224ばんどうろ,9,,
1066,ケイタ,からておう,4,ダイヤモンド・パール,ノクタス,カイリキー,,,,,02_karateou.PNG,1368円,シンオウ地方,227ばんどうろ,9,,
1067,フミヒト,からておう,4,ダイヤモンド・パール,マンキー（オコリザル）,マクノシタ（ハリテヤマ）,ハリテヤマ,,,,02_karateou.PNG,1320円、1440円,シンオウ地方,228ばんどうろ,9,,
1068,リキト,からておう,4,ダイヤモンド・パール,バルキー,ガラガラ,キノガッサ,,,,02_karateou.PNG,1392円,シンオウ地方,ハードマウンテン,9,,
1069,タクマ,からておう,4,ダイヤモンド・パール,カイリキー,,,,,,02_karateou.PNG,1416円,シンオウ地方,ハードマウンテン,9,,
1070,ケンタロウ,カラテおう,5,ブラック・ホワイト,ドッコラー,,,,,,02_karateou.PNG,512円,イッシュ地方,ヤグルマのもり,12,,
1071,トウシ,カラテおう,5,ブラック・ホワイト,ズルッグ,ナゲキ,ダゲキ,,,,02_karateou.PNG,1088円,イッシュ地方,ちかすいみゃくのあな,12,,
1072,テッペイ,カラテおう,5,ブラック・ホワイト,ダゲキ,,,,,,02_karateou.PNG,1152円,イッシュ地方,ネジやま（冬以外）,12,,
1073,タイキ,カラテおう,5,ブラック・ホワイト,クマシュン,フリージオ,クマシュン,,,,02_karateou.PNG,1120円,イッシュ地方,セッカジム,12,,
1074,ケンスケ,カラテおう,5,ブラック・ホワイト,クマシュン,,,,,,02_karateou.PNG,1184円,イッシュ地方,セッカジム,12,,
1075,タダシ,カラテおう,5,ブラック・ホワイト,バニリッチ,クマシュン,,,,,02_karateou.PNG,1152円,イッシュ地方,セッカジム,12,,
1076,ツヨシ,カラテおう,5,ブラック・ホワイト,ダゲキ,,,,,,02_karateou.PNG,1280円,イッシュ地方,10ばんどうろ,12,,
1077,リキヤ,カラテおう,5,ブラック・ホワイト,ズルズキン,コジョフー,ローブシン,,,,02_karateou.PNG,1376円,イッシュ地方,チャンピオンロード,12,,
1078,タクマ,カラテおう,5,ブラック・ホワイト,カイリキー,,,,,,02_karateou.PNG,1792円,イッシュ地方,ブラックシティ,12,,
1079,テツジ,カラテおう,5,ブラック・ホワイト,ダゲキ,サワムラー,,,,,02_karateou.PNG,2080円,イッシュ地方,13ばんどうろ,12,,
1080,ケンキチ,カラテおう,5,ブラック・ホワイト,オコリザル,ズルズキン,ニョロボン,,,,02_karateou.PNG,2048円,イッシュ地方,14ばんどうろ,12,,
1081,フミヒト,カラテおう,5,ブラック・ホワイト,マンキー,ヘラクロス,ローブシン,,,,02_karateou.PNG,2048円,イッシュ地方,ビッグスタジアム、リトルコート,12,,
1082,マシアス,カラテおう,5b,ブラック2・ホワイト2,ドッコラー,,,,,,02_karateou.PNG,480円,イッシュ地方,フェイスミッション,13,,
1083,ドニー,カラテおう,5b,ブラック2・ホワイト2,ズルッグ,,,,,,02_karateou.PNG,480円,イッシュ地方,フェイスミッション,13,,
1084,アザマ,カラテおう,5b,ブラック2・ホワイト2,リオル,,,,,,02_karateou.PNG,480円,イッシュ地方,フェイスミッション,13,,
1085,アンドレイ,カラテおう,5b,ブラック2・ホワイト2,ドッコラー,,,,,,02_karateou.PNG,480円,イッシュ地方,フェイスミッション,13,,
1086,ガナハ,カラテおう,5b,ブラック2・ホワイト2,ズルッグ,,,,,,02_karateou.PNG,480円,イッシュ地方,フェイスミッション,13,,
1087,ロドリゴ,カラテおう,5b,ブラック2・ホワイト2,リオル,,,,,,02_karateou.PNG,480円,イッシュ地方,フェイスミッション,13,,
1088,ツヨシ,カラテおう,5b,ブラック2・ホワイト2,ドテッコツ,ズルッグ,ズルッグ,,,,02_karateou.PNG,1184円,イッシュ地方,リバースマウンテン,13,,
